Type,Product,Date,Description,Amount,Balance,Hide
TRANSFER,Current,2025-02-12 20:25:12,To HUF,35000.0,55240.39,False
TRANSFER,Current,2025-02-12 20:26:08,To Zéti Polgári,-28000.0,27044.39,False
TOPUP,Current,2025-02-12 23:34:34,Top-Up by *4479,12800.0,39844.39,False
CARD_PAYMENT,Current,2025-02-12 12:34:03,Nemzeti Dohánybolt,-2379.0,37465.39,False
CARD_PAYMENT,Current,2025-02-12 21:29:28,McDonald's,-2110.0,35355.39,False
TRANSFER,Current,2025-02-13 16:32:31,To Zéti Polgári,-6000.0,29313.39,False
TRANSFER,Current,2025-02-14 09:20:45,To HUF,10000.0,39313.39,False
CARD_PAYMENT,Current,2025-02-13 14:10:31,Simple,-7289.0,32024.39,False
CARD_PAYMENT,Current,2025-02-14 07:54:34,Civis Cafe Canteen,-744.0,31280.39,False
CARD_PAYMENT,Current,2025-02-14 11:47:39,Civis Cafe Canteen,-1690.0,29590.39,False
TRANSFER,Current,2025-02-14 18:28:08,To HUF,10000.0,39590.39,False
CARD_PAYMENT,Current,2025-02-14 07:55:53,Cocacolahbcmagyaror,-500.0,39090.39,False
CARD_PAYMENT,Current,2025-02-14 17:02:11,Vir Var Dekor,-6000.0,33090.39,False
TRANSFER,Current,2025-02-15 18:15:48,Transfer from Revolut user,100000.0,133090.39,False
TRANSFER,Current,2025-02-15 18:17:24,To Anett Moldován,-99000.0,33397.39,False
TRANSFER,Current,2025-02-16 00:32:50,To HUF,15000.0,48397.39,False
CARD_PAYMENT,Current,2025-02-14 09:18:22,Liliput Játékvilág,-19289.0,29108.39,False
CARD_PAYMENT,Current,2025-02-15 22:47:48,Spontán Café & Lounge,-1200.0,27908.39,False
CARD_PAYMENT,Current,2025-02-15 21:33:37,Péterfia Rock Söröző,-690.0,27218.39,False
TRANSFER,Current,2025-02-16 11:52:03,To HUF,35000.0,62218.39,False
CARD_PAYMENT,Current,2025-02-15 09:18:09,PENNY,-5151.0,57067.39,False
CARD_PAYMENT,Current,2025-02-15 15:43:35,Nemzeti Dohánybolt,-1700.0,55367.39,False
CARD_PAYMENT,Current,2025-02-16 00:43:05,MAXILine Töltőállomás,-10068.0,45299.39,False
TOPUP,Current,2025-02-17 17:14:15,Top-Up by *7109,4000.0,49299.39,False
CARD_PAYMENT,Current,2025-02-17 16:37:55,Lidl,-5069.0,44230.39,False
CARD_PAYMENT,Current,2025-02-18 21:57:13,Spotify,-1090.0,43140.39,False
CARD_PAYMENT,Current,2025-02-18 15:45:40,HELLA AUTOTECHNIK NOVA s.r.o.,-430.0,42710.39,False
CARD_PAYMENT,Current,2025-02-18 09:35:21,Debreceni Egyetem,-470.0,42240.39,False
CARD_PAYMENT,Current,2025-02-18 11:37:31,"Diagnostic Sport, Lifestyle and Therapy Center",-13000.0,29240.39,False
CARD_PAYMENT,Current,2025-02-20 07:49:24,Cocacolahbcmagyaror,-500.0,28740.39,False
TRANSFER,Current,2025-02-21 19:52:35,Transfer to Revolut user,-3000.0,25740.39,False
TRANSFER,Current,2025-02-21 19:53:48,Transfer from Revolut user,3000.0,28740.39,False
CARD_PAYMENT,Current,2025-02-21 13:31:11,Viger Katalin E.v.,-1420.0,27320.39,False
CARD_PAYMENT,Current,2025-02-21 19:43:47,Apolló Mozi,-3300.0,24020.39,False
TRANSFER,Current,2025-02-22 15:36:57,To Lilla Salanki,-4500.0,19488.89,False
TRANSFER,Current,2025-02-23 15:11:56,To HUF,50000.0,69488.89,False
TRANSFER,Current,2025-02-23 15:16:11,To HUF Temp,-30000.0,39488.89,False
TRANSFER,Current,2025-02-24 09:28:48,Transfer from Revolut user,2063.34,41552.23,False
CARD_PAYMENT,Current,2025-02-23 15:14:00,MAXILine Töltőállomás,-20819.0,20733.23,False
CARD_PAYMENT,Current,2025-02-24 08:57:19,Apple,-6190.0,14543.23,False
CARD_PAYMENT,Current,2025-02-24 17:25:48,HELLA AUTOTECHNIK NOVA s.r.o.,-430.0,14113.23,False
CARD_PAYMENT,Current,2025-02-24 15:47:56,Simple,-896.0,13217.23,False
CARD_PAYMENT,Current,2025-02-25 12:27:37,Twitch,-2018.22,11199.01,False
CARD_PAYMENT,Current,2025-02-25 12:46:56,Coop,-1997.0,9202.01,False
CARD_PAYMENT,Current,2025-02-24 23:11:57,De Agra'r Kapu,-2200.0,7002.01,False
CARD_PAYMENT,Current,2025-02-25 17:51:18,Simple,-209.0,6793.01,False
TRANSFER,Current,2025-02-26 20:03:06,To HUF,10000.0,16793.01,False
TRANSFER,Current,2025-02-26 20:08:09,Transfer from Revolut user,8000.0,24793.01,False
TRANSFER,Current,2025-02-26 22:05:30,Transfer from Revolut user,2000.0,26793.01,False
CARD_PAYMENT,Current,2025-02-26 20:08:10,KFC,-9700.0,17093.01,False
CARD_PAYMENT,Current,2025-02-27 12:20:38,Civis Cafe Canteen,-2014.0,15079.01,False
TRANSFER,Current,2025-02-28 09:05:40,Transfer to Revolut user,-2000.0,13079.01,False
CARD_PAYMENT,Current,2025-02-27 08:01:04,Cocacolahbcmagyaror,-500.0,12579.01,False
CARD_PAYMENT,Current,2025-02-27 14:17:32,Cocacolahbcmagyaror,-500.0,12079.01,False
TRANSFER,Current,2025-02-28 12:09:35,To HUF,50000.0,62079.01,False
TRANSFER,Current,2025-02-28 12:40:34,HUF → Revolut X,-20167.49,41911.52,False
CARD_PAYMENT,Current,2025-02-28 12:09:43,Coinbase,-20165.72,21745.8,False
TRANSFER,Current,2025-02-28 20:06:46,Transfer from Revolut user,2000.0,23745.8,False
TRANSFER,Current,2025-02-28 20:07:37,Transfer to Revolut user,-2000.0,21745.8,False
CARD_PAYMENT,Current,2025-02-28 20:07:18,KFC,-5970.0,15775.8,False
CARD_PAYMENT,Current,2025-03-02 12:47:41,Nemzeti Dohánybolt,-1800.0,13975.8,False
TRANSFER,Current,2025-03-03 18:22:01,Transfer to Revolut user,-0.4,13975.4,False
TRANSFER,Current,2025-03-03 18:22:10,Transfer to Revolut user,-0.4,13975.0,False
EXCHANGE,Current,2025-03-03 18:27:14,Exchange to HUF,19.84,13994.84,False
TRANSFER,Current,2025-03-03 19:02:49,To HUF,15000.0,28994.84,False
TRANSFER,Current,2025-03-03 19:38:11,To LEVENTE NANDOR POLGARI,-900.0,28088.54,False
CARD_PAYMENT,Current,2025-03-03 19:03:10,Fizz,-14780.0,13308.54,False
CARD_PAYMENT,Current,2025-03-03 15:46:42,Simple,-1002.0,12306.54,False
TRANSFER,Current,2025-03-04 15:41:12,Transfer to Revolut user,-6000.0,6306.54,False
TRANSFER,Current,2025-03-04 16:48:48,To HUF,5000.0,11306.54,False
CARD_PAYMENT,Current,2025-03-04 20:29:32,GLS,-6480.0,4826.54,False
CARD_PAYMENT,Current,2025-03-04 13:10:04,Simple,-242.0,4584.54,False
TOPUP,Current,2025-03-06 10:56:22,Top-Up by *7109,128816.0,133400.54,False
TRANSFER,Current,2025-03-06 13:16:23,Transfer from Revolut user,127.64,133528.18,False
EXCHANGE,Current,2025-03-06 13:16:55,Exchange to HUF,50493.91,184022.09,False
TRANSFER,Current,2025-03-06 13:17:14,Transfer to Revolut user,-50500.0,133522.09,False
TRANSFER,Current,2025-03-06 14:22:39,Transfer to Revolut user,-5000.0,128522.09,False
TRANSFER,Current,2025-03-06 14:24:19,Transfer from Revolut user,5000.0,133522.09,False
CARD_PAYMENT,Current,2025-03-06 11:00:18,Trading 212,-20154.39,113367.7,False
CARD_PAYMENT,Current,2025-03-06 10:59:24,Trading 212,-20161.69,93206.01,False
TRANSFER,Current,2025-03-06 18:37:27,Transfer from Revolut user,3700.0,96906.01,False
TOPUP,Current,2025-03-06 18:37:49,Top-Up by *7109,11300.0,108206.01,False
TRANSFER,Current,2025-03-07 10:38:27,To LEVENTE NANDOR POLGARI,-1000.0,107199.01,False
CARD_PAYMENT,Current,2025-03-07 17:26:40,Nemzeti Dohánybolt,-1800.0,105399.01,False
TRANSFER,Current,2025-03-08 14:10:40,Transfer from Revolut user,7000.0,112399.01,False
TRANSFER,Current,2025-03-08 18:02:21,Transfer from Revolut user,50000.0,162399.01,False
CARD_PAYMENT,Current,2025-03-07 21:32:27,Burger King,-5270.0,157129.01,False
TRANSFER,Current,2025-03-09 11:01:03,To HUF Temp,-50000.0,107129.01,False
CARD_PAYMENT,Current,2025-03-08 10:20:51,Uveges Nikolett,-16499.0,90630.01,False
TRANSFER,Current,2025-03-09 11:46:31,To Anett Moldován,-20000.0,70490.01,False
TRANSFER,Current,2025-03-09 11:46:43,To Zéti Polgári,-20000.0,50350.01,False
TRANSFER,Current,2025-03-09 11:46:56,To HUF,50000.0,100350.01,False
CARD_PAYMENT,Current,2025-03-08 10:11:37,Simple,-244.0,100106.01,False
TRANSFER,Current,2025-03-09 15:53:25,Transfer from Revolut user,2000.0,102106.01,False
CARD_PAYMENT,Current,2025-03-09 10:42:35,Viger Katalin E.v.,-1430.0,100676.01,False
CARD_PAYMENT,Current,2025-03-09 15:10:31,Nagy Beki Pekseg,-400.0,100276.01,False
TOPUP,Current,2025-03-10 12:04:49,Top-Up by *7109,185000.0,285276.01,False
TRANSFER,Current,2025-03-10 12:06:21,To HUF Temp,-230000.0,55276.01,False
TRANSFER,Current,2025-03-10 15:48:11,To HUF,330000.0,385276.01,False
TRANSFER,Current,2025-03-10 15:48:34,To Savings Account,-300000.0,85276.01,False
TRANSFER,Current,2025-03-10 20:16:09,To Mark Fodor,-2000.0,83262.01,False
CARD_PAYMENT,Current,2025-03-09 22:18:45,Árukereső,-15490.0,67772.01,False
CARD_PAYMENT,Current,2025-03-10 15:04:16,barion,-11380.0,56392.01,False
CARD_PAYMENT,Current,2025-03-11 17:52:26,Simple,-209.0,56183.01,False
CARD_PAYMENT,Current,2025-03-13 17:07:43,Nemzeti Dohánybolt,-1800.0,54383.01,False
TRANSFER,Current,2025-03-14 09:59:01,Transfer to Revolut user,-15000.0,39383.01,False
CARD_PAYMENT,Current,2025-03-13 21:39:31,eMAG,-3348.0,36035.01,False
TRANSFER,Current,2025-03-14 15:28:15,Transfer from Revolut user,50000.0,86035.01,False
TRANSFER,Current,2025-03-14 15:28:37,To Anett Moldován,-49500.0,36188.51,False
TRANSFER,Current,2025-03-15 00:22:09,Transfer from Revolut user,1500.0,37688.51,False
TRANSFER,Current,2025-03-15 00:24:55,From Savings Account,10000.0,47688.51,False
TRANSFER,Current,2025-03-15 00:26:08,Transfer from Revolut user,1500.0,49188.51,False
TOPUP,Current,2025-03-15 01:10:28,Top-Up by *7109,26000.0,75188.51,False
TRANSFER,Current,2025-03-15 01:13:23,To Savings Account,-10000.0,65188.51,False
CARD_PAYMENT,Current,2025-03-14 22:55:44,Wolt,-5096.0,60092.51,False
CARD_PAYMENT,Current,2025-03-14 21:12:09,StatiON Bowling Debrecen,-4422.0,55670.51,False
CARD_PAYMENT,Current,2025-03-14 21:52:29,Nemzeti Dohánybolt,-2400.0,53270.51,False
CARD_PAYMENT,Current,2025-03-14 21:49:17,Nemzeti Dohánybolt,-3000.0,50270.51,False
TRANSFER,Current,2025-03-15 14:50:00,From Savings Account,30000.0,80270.51,False
TRANSFER,Current,2025-03-15 14:58:05,Transfer from Revolut user,2500.0,82770.51,False
CARD_PAYMENT,Current,2025-03-15 14:57:47,KFC,-4690.0,78080.51,False
CARD_PAYMENT,Current,2025-03-15 21:37:30,MAXILine Töltőállomás,-19223.0,58857.51,False
CARD_PAYMENT,Current,2025-03-15 00:25:02,StatiON Bowling Debrecen,-29600.0,29257.51,False
TRANSFER,Current,2025-03-17 13:06:22,From Savings Account,70000.0,99257.51,False
CARD_PAYMENT,Current,2025-03-17 10:18:31,Charlotte Tilbury,-16887.56,82369.95,False
TRANSFER,Current,2025-03-18 12:59:57,Transfer from Revolut user,1000.0,83369.95,False
CARD_PAYMENT,Current,2025-03-17 15:51:22,Simple,-816.0,82553.95,False
CARD_PAYMENT,Current,2025-03-18 21:57:19,Spotify,-1090.0,81463.95,False
CARD_PAYMENT,Current,2025-03-18 12:00:56,Simple,-595.0,80868.95,False
CARD_PAYMENT,Current,2025-03-18 17:52:42,Simple,-209.0,80659.95,False
TRANSFER,Current,2025-03-20 17:49:58,Transfer from Revolut user,54.91,80714.86,False
EXCHANGE,Current,2025-03-20 17:50:40,Exchange to HUF,21681.15,102396.01,False
CARD_PAYMENT,Current,2025-03-19 11:48:37,Nemzeti Dohánybolt,-1900.0,100496.01,False
CARD_PAYMENT,Current,2025-03-20 17:56:40,Tippmixpro,-2000.0,98496.01,False
CARD_PAYMENT,Current,2025-03-20 17:12:12,Tippmixpro,-25000.0,73496.01,False
TRANSFER,Current,2025-03-21 07:51:06,To Anett Moldován,-40000.0,33216.01,False
TRANSFER,Current,2025-03-21 22:18:05,Transfer from Revolut user,4000.0,37216.01,False
TOPUP,Current,2025-03-21 22:47:18,Top-Up by *4479,10000.0,47216.01,False
CARD_PAYMENT,Current,2025-03-21 13:11:11,Allegro,-6010.0,41206.01,False
CARD_PAYMENT,Current,2025-03-21 13:14:12,Schenopol,-3705.0,37501.01,False
EXCHANGE,Current,2025-03-22 23:47:48,Exchange to HUF,102450.72,138927.22,False
TRANSFER,Current,2025-03-22 23:49:32,Transfer to Revolut user,-49000.0,89927.22,False
CARD_PAYMENT,Current,2025-03-21 22:18:00,McDonald's,-5690.0,84237.22,False
CARD_PAYMENT,Current,2025-03-22 16:54:31,Nemzeti Dohánybolt,-11728.0,72509.22,False
CARD_PAYMENT,Current,2025-03-22 13:52:22,Nagy Beki Pekseg,-1330.0,71179.22,False
CARD_PAYMENT,Current,2025-03-22 10:38:33,"Diagnostic Sport, Lifestyle and Therapy Center",-13000.0,58179.22,False
CARD_PAYMENT,Current,2025-03-23 17:52:51,Tippmixpro,-4000.0,54179.22,False
TRANSFER,Current,2025-03-24 12:28:42,Transfer from Revolut user,4000.0,58179.22,False
CARD_PAYMENT,Current,2025-03-24 18:02:30,The Box Donut Debrecen,-2580.0,55599.22,False
CARD_PAYMENT,Current,2025-03-24 07:57:34,Apple,-6190.0,49409.22,False
TRANSFER,Current,2025-03-25 13:39:08,Transfer to Revolut user,-2300.0,47109.22,False
TRANSFER,Current,2025-03-25 16:52:01,Transfer to Revolut user,-1000.0,46109.22,False
TRANSFER,Current,2025-03-25 16:52:34,Transfer from Revolut user,1000.0,47109.22,False
CARD_PAYMENT,Current,2025-03-25 17:55:34,Both-Dega Büfe,-1220.0,45889.22,False
CARD_PAYMENT,Current,2025-03-25 07:49:40,HELLA AUTOTECHNIK NOVA s.r.o.,-430.0,45459.22,False
CARD_PAYMENT,Current,2025-03-25 12:27:39,Twitch,-2001.16,43458.06,False
CARD_PAYMENT,Current,2025-03-26 07:56:43,Civis Cafe Canteen,-2631.0,40827.06,False
TOPUP,Current,2025-03-27 11:50:47,Top-Up by *7109,6560.0,47387.06,False
CARD_PAYMENT,Current,2025-03-26 07:58:01,1605021531 Gfa It,-500.0,46887.06,False
ATM,Current,2025-03-29 16:10:40,"Cash at Sarand, Nagy U. 50.",-13000.0,33887.06,False
TRANSFER,Current,2025-03-31 14:14:39,Transfer from Revolut user,10000.0,43887.06,False
TRANSFER,Current,2025-03-31 14:15:04,Transfer to Revolut user,-10000.0,33887.06,False
CARD_PAYMENT,Current,2025-03-30 19:43:09,Apollo Cinema,-3520.0,30367.06,False
CARD_PAYMENT,Current,2025-03-31 19:33:38,Nemzeti Dohánybolt,-1800.0,28567.06,False
TRANSFER,Current,2025-04-02 10:25:26,From Savings Account,20000.0,48567.06,False
CARD_PAYMENT,Current,2025-04-01 11:38:43,KFC,-2490.0,46077.06,False
CARD_PAYMENT,Current,2025-04-01 11:35:03,Simple,-577.0,45500.06,False
CARD_PAYMENT,Current,2025-04-02 10:33:44,Techsend,-22480.0,23020.06,False
CARD_PAYMENT,Current,2025-04-04 07:44:34,Civis Cafe Canteen,-350.0,22670.06,False
CARD_PAYMENT,Current,2025-04-04 11:55:47,Civis Cafe Canteen,-1827.0,20843.06,False
CARD_PAYMENT,Current,2025-04-04 07:45:43,1605021531 Gfa It,-500.0,20343.06,False
CARD_PAYMENT,Current,2025-04-05 16:42:41,Crunchyroll,-300.0,,False
CARD_PAYMENT,Current,2025-04-03 23:39:16,McDonald's,-3250.0,17093.06,False
CARD_PAYMENT,Current,2025-04-05 22:02:49,Megálló Pizzéria és Ételbár,-11270.0,5823.06,False
TRANSFER,Current,2025-04-06 19:20:23,From Savings Account,20000.0,25823.06,False
CARD_PAYMENT,Current,2025-04-06 20:03:34,KFC,-3980.0,21843.06,False
CARD_PAYMENT,Current,2025-04-06 20:35:42,McDonald's,-820.0,21023.06,False
TRANSFER,Current,2025-04-07 23:36:29,Transfer from Revolut user,110000.0,131023.06,False
TRANSFER,Current,2025-04-07 23:37:03,To Anett Moldován,-109250.0,21008.31,False
TOPUP,Current,2025-04-08 13:48:50,Top-Up by *7109,175000.0,196008.31,False
TRANSFER,Current,2025-04-08 13:50:35,To Savings Account,-40000.0,156008.31,False
TRANSFER,Current,2025-04-08 15:06:06,To Savings Account,-100000.0,56008.31,False
CARD_PAYMENT,Current,2025-04-08 07:40:35,Civis Cafe Canteen,-1319.0,54689.31,False
CARD_PAYMENT,Current,2025-04-08 12:32:00,Civis Cafe Canteen,-3916.0,50773.31,False
TRANSFER,Current,2025-04-08 17:06:35,Transfer to Revolut user,-3000.0,47773.31,False
TRANSFER,Current,2025-04-09 12:12:05,Transfer from Revolut user,1480.0,49253.31,False
TRANSFER,Current,2025-04-09 12:12:00,Transfer from Revolut user,820.0,50073.31,False
CARD_PAYMENT,Current,2025-04-08 07:42:41,1605021531 Gfa It,-500.0,49573.31,False
TOPUP,Current,2025-04-10 10:49:25,Top-Up by *7109,237000.0,286573.31,False
TRANSFER,Current,2025-04-10 10:50:33,To HUF Holidays,-150000.0,136573.31,False
TRANSFER,Current,2025-04-10 10:51:40,To HUF Holidays,-50000.0,86573.31,False
TRANSFER,Current,2025-04-10 10:52:05,To HUF,60000.0,146573.31,False
TRANSFER,Current,2025-04-10 10:53:57,Transfer to Revolut user,-60000.0,86573.31,False
CARD_PAYMENT,Current,2025-04-09 11:37:50,Coop,-873.0,85700.31,False
CARD_PAYMENT,Current,2025-04-09 12:11:27,Simple,-793.0,84907.31,False
CARD_PAYMENT,Current,2025-04-09 10:25:39,Benu,-1849.0,83058.31,False
CARD_PAYMENT,Current,2025-04-09 10:34:25,MAXILine Töltőállomás,-22585.0,60473.31,False
CARD_PAYMENT,Current,2025-04-10 18:32:32,Popbeni Kft.,-420.0,60053.31,False
CARD_PAYMENT,Current,2025-04-10 08:37:58,Coop,-1746.0,58307.31,False
CARD_PAYMENT,Current,2025-04-10 15:56:45,Nemzeti Dohánybolt,-1700.0,56607.31,False
CARD_PAYMENT,Current,2025-04-11 07:02:29,Nemzeti Dohánybolt,-1018.0,55589.31,False
TOPUP,Current,2025-04-12 14:06:48,Top-Up by *7109,4000.0,59589.31,False
TRANSFER,Current,2025-04-12 14:08:13,Transfer from Revolut user,4149.6,63738.91,False
TRANSFER,Current,2025-04-12 14:08:16,Transfer from Revolut user,3838.0,67576.91,False
CARD_PAYMENT,Current,2025-04-12 13:57:46,Wolt,-4149.6,63427.31,False
CARD_PAYMENT,Current,2025-04-12 13:56:56,Wolt,-3838.0,59589.31,False
CARD_PAYMENT,Current,2025-04-12 22:32:36,Sheldon's,-2499.0,57090.31,False
CARD_PAYMENT,Current,2025-04-12 13:12:07,Reál,-2860.0,54230.31,False
CARD_PAYMENT,Current,2025-04-12 13:15:04,Nemzeti Dohánybolt,-2125.0,52105.31,False
CARD_PAYMENT,Current,2025-04-12 16:43:16,Crunchyroll,-2450.0,49655.31,False
CARD_PAYMENT,Current,2025-04-14 17:05:43,Reál,-1227.0,48428.31,False
CARD_PAYMENT,Current,2025-04-15 13:37:44,Coop,-1346.0,47082.31,False
CARD_PAYMENT,Current,2025-04-15 17:54:40,Simple,-209.0,46873.31,False
CARD_PAYMENT,Current,2025-04-16 20:18:07,Tesco,-3569.0,43304.31,False
CARD_PAYMENT,Current,2025-04-16 11:32:56,Nemzeti Dohánybolt,-1700.0,41604.31,False
CARD_PAYMENT,Current,2025-04-18 22:57:22,Spotify,-1090.0,40514.31,False
CARD_PAYMENT,Current,2025-04-19 11:33:14,Nemzeti Dohánybolt,-4163.0,36351.31,False
TRANSFER,Savings,2025-01-05 15:16:16,To HUF Dentist,50000.0,50000.0,False
TRANSFER,Savings,2025-01-20 12:58:03,To HUF Temp,450000.0,500000.0,False
TRANSFER,Savings,2025-01-23 14:09:04,To HUF,-15000.0,485000.0,False
TRANSFER,Savings,2025-01-26 15:49:28,To HUF,-450000.0,35000.0,False
TRANSFER,Savings,2025-02-11 10:25:45,To HUF Temp,250000.0,285000.0,False
TRANSFER,Savings,2025-02-11 10:26:00,To HUF Temp,20000.0,305000.0,False
TRANSFER,Savings,2025-02-12 20:25:12,To HUF,-35000.0,270000.0,False
TRANSFER,Savings,2025-02-14 09:20:45,To HUF,-10000.0,260000.0,False
TRANSFER,Savings,2025-02-14 18:28:08,To HUF,-10000.0,250000.0,False
TRANSFER,Savings,2025-02-14 18:28:22,Closing transaction,0.0,250000.0,False
TRANSFER,Savings,2025-02-16 00:32:50,To HUF,-15000.0,235000.0,False
TRANSFER,Savings,2025-02-16 11:52:03,To HUF,-35000.0,200000.0,False
TRANSFER,Savings,2025-02-23 15:11:56,To HUF,-50000.0,150000.0,False
TRANSFER,Savings,2025-02-23 15:16:11,To HUF Temp,30000.0,180000.0,False
TRANSFER,Savings,2025-02-26 20:03:06,To HUF,-10000.0,170000.0,False
TRANSFER,Savings,2025-02-28 12:09:35,To HUF,-50000.0,120000.0,False
TRANSFER,Savings,2025-03-03 19:02:49,To HUF,-15000.0,105000.0,False
TRANSFER,Savings,2025-03-04 16:48:48,To HUF,-5000.0,100000.0,False
TRANSFER,Savings,2025-03-09 11:01:03,To HUF Temp,50000.0,150000.0,False
TRANSFER,Savings,2025-03-09 11:46:56,To HUF,-50000.0,100000.0,False
TRANSFER,Savings,2025-03-10 12:06:21,To HUF Temp,230000.0,330000.0,False
TRANSFER,Savings,2025-03-10 15:48:11,To HUF,-330000.0,0.0,False
TRANSFER,Savings,2025-03-10 15:48:23,Closing transaction,0.0,0.0,False
TRANSFER,Savings,2025-04-10 10:50:33,To HUF Holidays,150000.0,150000.0,False
TRANSFER,Savings,2025-04-10 10:51:40,To HUF Holidays,50000.0,200000.0,False
TRANSFER,Savings,2025-04-10 10:52:05,To HUF,-60000.0,140000.0,False
TRANSFER,Deposit,2025-03-10 15:48:34,To Savings Account,300000.0,300000.0,False
TRANSFER,Deposit,2025-03-15 00:24:55,From Savings Account,-10000.0,290034.93,False
TRANSFER,Deposit,2025-03-15 01:13:23,To Savings Account,10000.0,300034.93,False
TRANSFER,Deposit,2025-03-15 14:50:00,From Savings Account,-30000.0,270043.67,False
TRANSFER,Deposit,2025-03-17 13:06:22,From Savings Account,-70000.0,200059.38,False
TRANSFER,Deposit,2025-04-02 10:25:26,From Savings Account,-20000.0,180152.55,False
TRANSFER,Deposit,2025-04-06 19:20:23,From Savings Account,-20000.0,160173.51,False
TRANSFER,Deposit,2025-04-08 13:50:35,To Savings Account,40000.0,200182.84,False
TRANSFER,Deposit,2025-04-08 15:06:06,To Savings Account,100000.0,300182.84,False
